000: Acc-tr:  13.67, Acc-val:  13.76, L-tr: 3.5994, L-val: 3.6218
001: Acc-tr:  24.23, Acc-val:  23.52, L-tr: 2.9807, L-val: 3.0470
002: Acc-tr:  34.88, Acc-val:  33.03, L-tr: 2.4689, L-val: 2.5765
003: Acc-tr:  39.30, Acc-val:  35.72, L-tr: 2.2313, L-val: 2.3935
004: Acc-tr:  46.16, Acc-val:  42.21, L-tr: 1.9556, L-val: 2.1615
005: Acc-tr:  43.94, Acc-val:  39.20, L-tr: 2.0877, L-val: 2.3665
006: Acc-tr:  49.97, Acc-val:  43.72, L-tr: 1.8110, L-val: 2.1476
007: Acc-tr:  50.84, Acc-val:  43.54, L-tr: 1.7450, L-val: 2.1693
008: Acc-tr:  55.23, Acc-val:  46.74, L-tr: 1.5779, L-val: 2.0160
009: Acc-tr:  59.11, Acc-val:  48.79, L-tr: 1.4061, L-val: 1.9003
010: Acc-tr:  62.22, Acc-val:  49.92, L-tr: 1.2889, L-val: 1.8640
011: Acc-tr:  58.73, Acc-val:  47.09, L-tr: 1.4378, L-val: 2.0806
012: Acc-tr:  62.36, Acc-val:  49.18, L-tr: 1.2732, L-val: 1.9498
013: Acc-tr:  58.52, Acc-val:  45.73, L-tr: 1.4448, L-val: 2.2168
014: Acc-tr:  61.18, Acc-val:  47.82, L-tr: 1.3241, L-val: 2.0618
015: Acc-tr:  66.27, Acc-val:  49.43, L-tr: 1.1269, L-val: 1.9738
016: Acc-tr:  67.27, Acc-val:  49.72, L-tr: 1.0839, L-val: 1.9906
017: Acc-tr:  66.57, Acc-val:  48.63, L-tr: 1.1026, L-val: 2.0293
018: Acc-tr:  66.68, Acc-val:  48.31, L-tr: 1.1008, L-val: 2.1240
019: Acc-tr:  72.24, Acc-val:  51.10, L-tr: 0.9074, L-val: 1.9103
020: Acc-tr:  66.23, Acc-val:  47.31, L-tr: 1.1474, L-val: 2.3001
021: Acc-tr:  75.12, Acc-val:  51.68, L-tr: 0.8069, L-val: 1.9365
022: Acc-tr:  69.06, Acc-val:  48.00, L-tr: 1.0005, L-val: 2.1348
023: Acc-tr:  71.89, Acc-val:  49.15, L-tr: 0.9199, L-val: 2.1624
024: Acc-tr:  72.32, Acc-val:  49.20, L-tr: 0.8929, L-val: 2.1814
025: Acc-tr:  70.69, Acc-val:  47.92, L-tr: 0.9706, L-val: 2.3306
026: Acc-tr:  74.04, Acc-val:  49.89, L-tr: 0.8260, L-val: 2.1903
027: Acc-tr:  71.87, Acc-val:  48.71, L-tr: 0.9059, L-val: 2.3265
028: Acc-tr:  75.16, Acc-val:  49.89, L-tr: 0.7810, L-val: 2.2747
029: Acc-tr:  74.24, Acc-val:  48.44, L-tr: 0.8293, L-val: 2.3480
030: Acc-tr:  73.40, Acc-val:  48.28, L-tr: 0.8665, L-val: 2.3995
031: Acc-tr:  75.84, Acc-val:  48.61, L-tr: 0.7658, L-val: 2.4079
032: Acc-tr:  69.22, Acc-val:  45.27, L-tr: 1.0595, L-val: 2.6425
033: Acc-tr:  76.79, Acc-val:  49.43, L-tr: 0.7466, L-val: 2.3764
034: Acc-tr:  78.44, Acc-val:  49.70, L-tr: 0.6751, L-val: 2.3035
035: Acc-tr:  79.78, Acc-val:  50.08, L-tr: 0.6291, L-val: 2.3151
036: Acc-tr:  79.22, Acc-val:  50.05, L-tr: 0.6436, L-val: 2.2316
037: Acc-tr:  73.63, Acc-val:  46.22, L-tr: 0.8559, L-val: 2.7102
038: Acc-tr:  79.74, Acc-val:  49.46, L-tr: 0.6306, L-val: 2.3394
039: Acc-tr:  78.93, Acc-val:  49.06, L-tr: 0.6522, L-val: 2.3254
040: Acc-tr:  75.85, Acc-val:  47.43, L-tr: 0.7995, L-val: 2.6064
041: Acc-tr:  77.08, Acc-val:  48.32, L-tr: 0.7267, L-val: 2.4826
042: Acc-tr:  78.75, Acc-val:  48.42, L-tr: 0.6687, L-val: 2.5102
043: Acc-tr:  80.34, Acc-val:  49.62, L-tr: 0.6259, L-val: 2.4697
044: Acc-tr:  79.16, Acc-val:  48.60, L-tr: 0.6476, L-val: 2.4259
045: Acc-tr:  81.17, Acc-val:  49.43, L-tr: 0.5810, L-val: 2.3999
046: Acc-tr:  83.13, Acc-val:  50.66, L-tr: 0.5157, L-val: 2.4001
